City,Guest Satisfaction,average_distance_metro
Paris,65.0,0.12405271858369295
Paris,67.0,0.2721409915951961
Paris,68.0,0.3536929796345386
Paris,69.0,0.19177090358190516
Paris,70.0,0.19537692339396934
Paris,71.0,0.1971600149570357
Paris,72.0,0.4249394259509024
Paris,73.0,0.19695730795195923
Paris,74.0,0.29002381390888804
Paris,75.0,0.21364653993198168
Paris,76.0,0.215712936688189
Paris,77.0,0.27775656703715823
Paris,78.0,0.2655468383135425
Paris,79.0,0.2400056443549685
Paris,80.0,0.23395481202721294
Paris,81.0,0.21610709463161654
Paris,82.0,0.22094511323010088
Paris,83.0,0.19809889399904715
Paris,84.0,0.22222012386864679
Paris,85.0,0.23895182017583483
Paris,86.0,0.23384013767228565
Paris,87.0,0.213154832883116
Paris,88.0,0.2321829995632172
Paris,89.0,0.22748188116024898
Paris,90.0,0.2517217480331348
Paris,91.0,0.2272546022679571
Paris,92.0,0.21705085020794607
Paris,93.0,0.22226908666277967
Paris,94.0,0.22157863311651615
Paris,95.0,0.23330381711209947
Paris,96.0,0.230044090929592
Paris,97.0,0.2267567042165206
Paris,98.0,0.23233847624441237
Paris,99.0,0.21568845186190164
Paris,100.0,0.23422385904730786
Rome,20.0,0.5068819461349139
Rome,40.0,0.3797495664019553
Rome,50.0,0.5393017410824682
Rome,60.0,0.442541216084709
Rome,65.0,0.3028268109416075
Rome,67.0,0.3514438756753401
Rome,70.0,0.3663265238177401
Rome,71.0,0.7389258911269536
Rome,72.0,0.43795460079246623
Rome,73.0,0.49548517015393384
Rome,74.0,0.3108935279941132
Rome,75.0,0.44116848713377127
Rome,76.0,0.532415389052514
Rome,77.0,0.6457916923206222
Rome,78.0,0.569876345903815
Rome,79.0,0.5979981200510038
Rome,80.0,0.5263042317037273
Rome,81.0,0.40237632775633564
Rome,82.0,0.5405445739261743
Rome,83.0,0.5201957307593129
Rome,84.0,0.5230506098453157
Rome,85.0,0.5887757699672868
Rome,86.0,0.5669947085111146
